index,image_id,is_target,buffer_index,timestamp
0,11,0,4012,19.142994
1,18,0,4164,19.748613
2,14,0,4300,20.303565
3,9,0,4452,20.892031
4,1,0,4592,21.462806
5,17,0,4732,22.021954
6,2,0,4876,22.596885
7,4,0,5020,23.167947
8,16,0,5168,23.763109
9,11,0,5312,24.326829
10,12,0,5456,24.901003
11,7,1,5600,25.479431
12,16,0,5748,26.078087
13,3,1,5888,26.637401
14,8,1,6028,27.193012
15,12,0,6168,27.768002
16,0,0,6312,28.343019
17,15,0,6464,28.921397
18,9,0,6604,29.497156
19,13,0,6752,30.067933
20,1,0,6892,30.647809
21,4,0,7032,31.217983
22,16,0,7192,31.836279
23,5,0,7320,32.367979
24,18,0,7472,32.965580
25,2,0,7616,33.543235
26,8,1,7752,34.093029
27,12,0,7904,34.693189
28,0,0,8048,35.280490
29,19,0,8188,35.833599
30,8,1,8332,36.406708
31,9,0,8472,36.978567
32,3,1,8616,37.543000
33,5,0,8768,38.155720
34,6,0,8900,38.693001
35,1,0,9052,39.292749
36,5,0,9192,39.859045
37,15,0,9332,40.417980
38,19,0,9488,41.037913
39,9,0,9628,41.591938
40,3,1,9768,42.149970
41,11,0,9916,42.735287
42,13,0,10060,43.320502
43,7,1,10200,43.880386
44,1,0,10348,44.472839
45,4,0,10488,45.039257
46,8,1,10628,45.593040
47,15,0,10772,46.172084
48,14,0,10920,46.760849
49,15,0,11060,47.317973
50,19,0,11208,47.907751
51,13,0,11352,48.484310
52,7,1,11496,49.055670
53,19,0,11636,49.623640
54,5,0,11784,50.195787
55,13,0,11924,50.768045
56,17,0,12072,51.353409
57,18,0,12216,51.935311
58,6,0,12356,52.496457
59,19,0,12500,53.072930
60,10,0,12636,53.642938
61,14,0,12796,54.270415
62,10,0,12936,54.812095
63,17,0,13072,55.368002
64,18,0,13224,55.966846
65,2,0,13364,56.525225
66,14,0,13508,57.110589
67,4,0,13648,57.671076
68,14,0,13796,58.276570
69,17,0,13944,58.849049
70,7,1,14076,59.393019
71,6,0,14236,60.018147
72,0,0,14372,60.560507
73,10,0,14516,61.118449
74,3,1,14656,61.697231
75,0,0,14804,62.288743
76,5,0,14948,62.843476
77,12,0,15100,63.487970
78,18,0,15232,64.001847
79,10,0,15376,64.567956
80,4,0,15516,65.142942
81,8,1,15668,65.724464
82,0,0,15804,66.292975
83,13,0,15956,66.931866
84,1,0,16096,67.461645
85,12,0,16236,68.017937
86,11,0,16380,68.602728
87,16,0,16524,69.167962
88,3,1,16672,69.756334
89,6,0,16816,70.336356
90,11,0,16960,70.907072
91,2,0,17100,71.483830
92,6,0,17240,72.043381
93,15,0,17384,72.617976
94,2,0,17532,73.192998
95,16,0,17680,73.794712
96,17,0,17824,74.365712
97,10,0,17968,74.935348
98,7,1,18116,75.542841
99,9,0,18248,76.068001
