index,image_id,is_target,buffer_index,timestamp
0,16,0,616,6.796163
1,4,0,676,7.251290
2,3,0,736,7.709716
3,17,0,792,8.154792
4,11,0,848,8.598334
5,3,0,912,9.058821
6,17,0,968,9.501792
7,19,0,1024,9.946242
8,14,0,1084,10.406392
9,1,0,1140,10.847886
10,11,0,1200,11.305757
11,6,0,1260,11.755890
12,12,0,1320,12.199997
13,3,0,1376,12.657670
14,5,0,1432,13.101357
15,17,0,1492,13.546545
16,11,0,1552,14.006463
17,0,0,1608,14.452475
18,10,0,1668,14.909588
19,3,0,1724,15.355188
20,7,0,1780,15.800093
21,11,0,1836,16.246180
22,17,0,1896,16.707705
23,2,0,1952,17.154571
24,18,0,2008,17.601417
25,13,0,2068,18.060971
26,9,0,2124,18.506151
27,11,0,2180,18.950588
28,15,0,2240,19.410592
29,17,0,2292,19.853684
30,3,0,2352,20.300347
31,8,0,2412,20.759911
