index,image_id,is_target,buffer_index,timestamp
0,0,0,844,9.417992
1,16,0,932,9.860635
2,2,0,1064,10.323782
3,3,0,1140,10.753130
4,6,0,1260,11.197751
5,10,0,1344,11.630754
6,18,0,1504,12.093135
7,0,0,1604,12.564873
8,4,0,1736,13.014612
9,19,0,1828,13.440424
10,15,0,1968,13.920206
11,1,0,2056,14.322617
12,8,0,2184,14.791384
13,13,0,2292,15.265118
14,9,0,2396,15.681549
15,2,0,2516,16.141869
16,11,0,2604,16.571780
17,2,0,2732,17.106635
18,7,0,2860,17.599042
19,0,0,2900,18.043003
20,17,0,3052,18.368603
21,1,0,3192,18.935229
22,5,0,3308,19.308864
23,2,0,3428,19.838864
24,1,0,3512,20.215659
25,0,0,3632,20.650999
26,1,0,3740,21.111835
27,0,0,3860,21.534845
28,14,0,3972,22.103414
29,1,0,4092,22.468352
30,12,0,4204,22.972826
31,2,0,4252,23.355497
