index,image_id,is_target,buffer_index,timestamp
0,15,0,5268,4462.688893
1,7,0,5404,4463.264225
2,4,0,5536,4463.838870
3,3,0,5668,4464.413876
4,8,1,5804,4464.988877
5,14,1,5936,4465.563921
6,4,0,6072,4466.138863
7,1,0,6204,4466.713855
8,11,0,6340,4467.288897
9,17,0,6480,4467.863912
10,13,0,6616,4468.439091
11,8,1,6748,4469.013890
12,9,0,6884,4469.588875
13,5,0,7020,4470.163869
14,13,0,7160,4470.738874
15,6,0,7292,4471.313894
16,9,0,7428,4471.889469
17,0,0,7564,4472.463938
18,19,0,7696,4473.038869
19,16,0,7832,4473.613852
20,5,0,7968,4474.188866
21,2,0,8104,4474.764196
22,1,0,8232,4475.338868
23,14,1,8368,4475.913889
24,10,0,8504,4476.495332
25,5,0,8636,4477.063903
26,16,0,8772,4477.638887
27,12,1,8908,4478.214031
28,18,0,9040,4478.788874
29,2,0,9172,4479.363893
30,7,0,9304,4479.938863
31,16,0,9440,4480.513864
32,19,0,9580,4481.089034
33,0,0,9712,4481.663872
34,15,0,9844,4482.239328
35,2,0,9972,4482.813890
36,17,0,10108,4483.388851
37,7,0,10244,4483.963990
38,0,0,10376,4484.539012
39,11,0,10500,4485.113853
40,3,0,10636,4485.688890
41,4,0,10772,4486.263909
42,7,0,10908,4486.839045
43,12,1,11040,4487.413862
44,9,0,11180,4487.994643
45,10,0,11316,4488.564038
46,18,0,11452,4489.138970
47,11,0,11584,4489.713884
48,12,1,11720,4490.288862
49,0,0,11848,4490.863883
50,5,0,11984,4491.438864
51,3,0,12116,4492.013957
52,16,0,12252,4492.588858
53,17,0,12388,4493.170599
54,12,1,12520,4493.738846
55,17,0,12656,4494.313883
56,15,0,12796,4494.888987
57,14,1,12928,4495.463908
58,18,0,13060,4496.038894
59,9,0,13196,4496.613934
60,13,0,13332,4497.188873
61,5,0,13468,4497.769999
62,10,0,13600,4498.338859
63,1,0,13736,4498.921643
64,7,0,13868,4499.488939
65,13,0,14004,4500.063942
66,3,0,14136,4500.638873
67,14,1,14272,4501.214595
68,6,0,14404,4501.788927
69,14,1,14536,4502.363879
70,9,0,14672,4502.938862
71,6,0,14808,4503.517203
72,17,0,14944,4504.088880
73,2,0,15076,4504.663862
74,6,0,15212,4505.238893
75,11,0,15348,4505.813865
76,18,0,15484,4506.388871
77,3,0,15616,4506.963911
78,13,0,15752,4507.539083
79,8,1,15884,4508.114512
80,19,0,16016,4508.688890
81,8,1,16156,4509.263873
82,11,0,16288,4509.838852
83,10,0,16424,4510.413865
84,8,1,16556,4510.988892
85,15,0,16692,4511.565545
86,2,0,16824,4512.138871
87,1,0,16956,4512.713855
88,4,0,17096,4513.296898
89,10,0,17228,4513.863893
90,4,0,17364,4514.439065
91,18,0,17496,4515.014042
92,1,0,17628,4515.589056
93,16,0,17756,4516.163898
94,6,0,17892,4516.739054
95,19,0,18028,4517.314002
96,0,0,18160,4517.888869
97,15,0,18296,4518.464032
98,19,0,18424,4519.038876
99,12,1,18560,4519.613897
