index,image_id,is_target,buffer_index,timestamp
0,9,0,17072,71.420726
1,2,0,17224,72.076931
2,7,0,17364,72.590323
3,16,0,17496,73.163191
4,1,0,17660,73.755225
5,5,0,17784,74.320503
6,11,0,17960,74.982332
7,15,0,18100,75.521801
8,8,0,18248,76.109420
9,17,0,18376,76.619312
10,15,0,18524,77.196917
11,7,0,18676,77.820591
12,12,0,18812,78.348582
13,11,0,18940,78.924647
14,15,0,19088,79.510677
15,3,0,19252,80.112744
16,17,0,19368,80.638100
17,14,0,19540,81.262956
18,18,0,19652,81.825502
19,1,0,19816,82.380449
20,4,0,19964,82.954472
21,6,0,20096,83.510521
22,18,0,20252,84.118798
23,9,0,20392,84.681744
24,19,0,20556,85.322561
25,2,0,20672,85.817440
26,7,0,20844,86.480701
27,6,0,20980,87.022978
28,0,0,21112,87.586029
29,17,0,21240,88.116400
30,12,0,21396,88.715172
31,14,0,21544,89.286577
32,12,0,21684,89.846846
33,6,0,21840,90.484364
34,11,0,21964,91.040429
35,1,0,22116,91.571439
36,7,0,22264,92.210139
37,11,0,22400,92.741672
38,13,0,22544,93.311601
39,8,0,22688,93.873751
40,18,0,22840,94.490167
41,5,0,22976,95.026569
42,9,0,23116,95.605894
43,3,0,23268,96.172036
44,13,0,23396,96.781896
45,10,0,23564,97.360182
46,7,0,23708,97.964729
47,5,0,23836,98.482055
48,19,0,23968,99.041454
49,16,0,24128,99.627558
50,8,0,24264,100.192696
51,16,0,24408,100.745967
52,10,0,24560,101.362782
53,9,0,24688,101.938530
54,3,0,24848,102.520294
55,0,0,24972,103.054072
56,1,0,25132,103.644916
57,3,0,25280,104.228752
58,6,0,25420,104.798491
59,18,0,25560,105.360756
60,10,0,25704,105.943386
61,3,0,25864,106.583966
62,8,0,25996,107.123312
63,10,0,26144,107.716455
64,16,0,26280,108.233114
65,5,0,26428,108.830513
66,4,0,26584,109.461631
67,11,0,26724,110.010773
68,12,0,26856,110.534219
69,0,0,27004,111.122475
70,16,0,27156,111.729912
71,10,0,27284,112.287302
72,2,0,27436,112.870174
73,12,0,27576,113.420856
74,4,0,27724,114.036827
75,15,0,27852,114.565308
76,14,0,28000,115.139059
77,1,0,28148,115.710441
78,13,0,28296,116.323006
79,19,0,28432,116.912848
80,8,0,28572,117.437810
81,19,0,28736,118.055406
82,5,0,28884,118.638524
83,9,0,29032,119.258782
84,6,0,29152,119.728133
85,0,0,29308,120.357381
86,13,0,29464,121.075666
87,14,0,29600,121.514115
88,18,0,29728,122.071327
89,2,0,29848,122.608785
90,4,0,30024,123.274898
91,0,0,30148,123.769013
92,2,0,30320,124.399195
93,14,0,30448,124.955457
94,17,0,30572,125.500378
95,4,0,30720,126.081933
96,13,0,30888,126.748374
97,19,0,31020,127.214732
98,17,0,31172,127.795334
99,15,0,31312,128.373584
