index,image_id,is_target,buffer_index,timestamp
0,1,0,540,4.577632
1,13,0,652,5.030844
2,7,0,768,5.536527
3,12,0,884,5.958769
4,0,0,996,6.441420
5,19,0,1104,6.911564
6,2,0,1224,7.345190
7,4,0,1324,7.739712
8,9,0,1456,8.237560
9,13,0,1564,8.673891
10,7,0,1668,9.104617
11,11,0,1772,9.538039
12,0,0,1892,9.998753
13,10,0,2016,10.475809
14,0,0,2116,10.942103
15,13,0,2236,11.387194
16,18,0,2344,11.806961
17,6,0,2448,12.237439
18,17,0,2580,12.756709
19,16,0,2676,13.130199
20,7,0,2780,13.578945
21,5,0,2892,14.044869
22,14,0,3016,14.501921
23,0,0,3140,14.996033
24,8,0,3244,15.402380
25,7,0,3356,15.870359
26,15,0,3464,16.280274
27,0,0,3576,16.727847
28,13,0,3696,17.217578
29,3,0,3804,17.628232
30,13,0,3932,18.168968
31,7,0,4024,18.530457
