index,image_id,is_target,buffer_index,timestamp
0,12,0,3444,17.091315
1,0,0,3604,17.715725
2,7,0,3744,18.287595
3,13,0,3880,18.830274
4,3,0,4028,19.411602
5,13,0,4172,19.996924
6,16,0,4296,20.543985
7,4,0,4452,21.116468
8,10,0,4588,21.691347
9,17,0,4724,22.270624
10,12,0,4880,22.841353
11,3,0,5040,23.458021
12,7,0,5168,23.991342
13,14,0,5320,24.581839
14,9,0,5456,25.141327
15,7,0,5604,25.716333
16,18,0,5752,26.329221
17,9,0,5892,26.869117
18,5,0,6032,27.445488
19,12,0,6172,28.016329
20,14,0,6320,28.591338
21,5,0,6472,29.177112
22,8,0,6600,29.741325
23,9,0,6760,30.353464
24,2,0,6872,30.891386
25,19,0,7016,31.482572
26,11,0,7172,32.053392
27,2,0,7304,32.616350
28,1,0,7444,33.207919
29,18,0,7608,33.799374
30,16,0,7756,34.341343
31,19,0,7908,34.946878
32,6,0,8044,35.491360
33,17,0,8192,36.099210
34,0,0,8332,36.641339
35,3,0,8456,37.229302
36,6,0,8624,37.827901
37,12,0,8776,38.389379
38,16,0,8916,38.973252
39,14,0,9040,39.516348
40,13,0,9192,40.091375
41,14,0,9344,40.698503
42,16,0,9488,41.241380
43,17,0,9636,41.844411
44,13,0,9780,42.416587
45,2,0,9924,42.994326
46,11,0,10064,43.564454
47,6,0,10212,44.141959
48,18,0,10348,44.696176
49,15,0,10492,45.266418
50,12,0,10644,45.864397
51,1,0,10780,46.416357
52,5,0,10924,46.998332
53,4,0,11052,47.602051
54,0,0,11200,48.166365
55,10,0,11356,48.737788
56,18,0,11508,49.327110
57,17,0,11636,49.866373
58,1,0,11780,50.441344
59,16,0,11936,51.051518
60,11,0,12084,51.620425
61,14,0,12220,52.182919
62,1,0,12368,52.776767
63,8,0,12512,53.361327
64,5,0,12640,53.905678
65,19,0,12800,54.498414
66,5,0,12940,55.050886
67,0,0,13092,55.681868
68,3,0,13232,56.226678
69,10,0,13360,56.768465
70,15,0,13516,57.356811
71,19,0,13660,57.939050
72,10,0,13800,58.495670
73,9,0,13948,59.100599
74,4,0,14092,59.695362
75,3,0,14228,60.216475
76,8,0,14376,60.804225
77,1,0,14520,61.375620
78,9,0,14664,61.947370
79,18,0,14812,62.548448
80,2,0,14956,63.110441
81,7,0,15092,63.669474
82,15,0,15248,64.293295
83,4,0,15380,64.816347
84,8,0,15524,65.391351
85,19,0,15668,65.966454
86,10,0,15812,66.553224
87,15,0,15960,67.131647
88,6,0,16112,67.744879
89,8,0,16240,68.266326
90,17,0,16388,68.841491
91,0,0,16536,69.437528
92,11,0,16680,70.006501
93,13,0,16824,70.585841
94,15,0,16964,71.143175
95,11,0,17108,71.718242
96,4,0,17260,72.327579
97,2,0,17392,72.866358
98,7,0,17548,73.495538
99,6,0,17680,74.016342
