Variance_C3,Variance_C4,Class
103944392.15816405,148546259.87637702,Rest
103951496.83076034,147038616.72170064,Rest
103964609.78719507,145924117.1220938,Rest
103999339.23421068,145091170.65647706,Rest
103986095.42720984,144332006.2836849,Rest
104008285.38690515,143720759.07749727,Rest
