index,image_id,is_target,buffer_index,timestamp
0,16,0,1280,12.293571
1,17,0,1420,12.881243
2,3,0,1584,13.479723
3,8,0,1724,14.048885
4,0,1,1872,14.639789
5,11,0,2012,15.180159
6,3,0,2152,15.802025
7,5,0,2312,16.391661
8,16,0,2440,16.913776
9,17,0,2588,17.468528
10,12,0,2728,18.063856
11,6,0,2880,18.671891
12,17,0,3024,19.223830
13,14,0,3156,19.774396
14,11,0,3300,20.347944
15,15,0,3444,20.918507
16,4,0,3600,21.520481
17,7,0,3740,22.137194
18,15,0,3884,22.663195
19,8,0,4024,23.218548
20,13,0,4168,23.793489
21,0,1,4308,24.368506
22,11,0,4448,24.951794
23,19,0,4600,25.531652
24,9,0,4752,26.155207
25,6,0,4888,26.684126
26,19,0,5024,27.243504
27,8,0,5180,27.927905
28,10,0,5324,28.422128
29,11,0,5472,29.014492
30,6,0,5612,29.605051
31,3,0,5748,30.118564
32,2,1,5896,30.731317
33,5,0,6048,31.325238
34,3,0,6184,31.850328
35,10,0,6316,32.434589
36,12,0,6460,32.993514
37,18,0,6608,33.577440
38,19,0,6752,34.143478
39,16,0,6896,34.723285
40,17,0,7048,35.320164
41,7,0,7196,35.896895
42,15,0,7340,36.475840
43,1,1,7484,37.063383
44,2,1,7636,37.657824
45,19,0,7764,38.192084
46,14,0,7912,38.810263
47,4,0,8056,39.345752
48,19,0,8196,39.908267
49,9,0,8344,40.502398
50,7,0,8488,41.046396
51,11,0,8628,41.624681
52,6,0,8764,42.193512
53,2,1,8920,42.790392
54,0,1,9060,43.343802
55,4,0,9208,43.951342
56,10,0,9352,44.539087
57,12,0,9488,45.068558
58,1,1,9628,45.650610
59,14,0,9776,46.230932
60,18,0,9916,46.793458
61,12,0,10060,47.368577
62,17,0,10204,48.005451
63,1,1,10348,48.518478
64,18,0,10496,49.104226
65,5,0,10640,49.678858
66,1,1,10788,50.279371
67,3,0,10928,50.831631
68,15,0,11072,51.393461
69,0,1,11216,51.991490
70,7,0,11360,52.565266
71,9,0,11504,53.132058
72,1,1,11648,53.709276
73,13,0,11784,54.268523
74,4,0,11916,54.843561
75,15,0,12092,55.494369
76,16,0,12232,56.064392
77,18,0,12352,56.568476
78,7,0,12512,57.157523
79,2,1,12656,57.741174
80,5,0,12800,58.317016
81,10,0,12932,58.903286
82,4,0,13076,59.443463
83,16,0,13220,60.018540
84,10,0,13372,60.609520
85,12,0,13524,61.210121
86,13,0,13668,61.802319
87,9,0,13804,62.331090
88,14,0,13944,62.893474
89,6,0,14088,63.468471
90,8,0,14224,64.049254
91,0,1,14376,64.620619
92,5,0,14512,65.193513
93,8,0,14668,65.773965
94,13,0,14812,66.361701
95,18,0,14956,66.929114
96,14,0,15104,67.547758
97,13,0,15244,68.085836
98,9,0,15380,68.643471
99,2,1,15512,69.256130
