index,image_id,is_target,buffer_index,timestamp
0,2,1,26212,109.678936
1,14,0,26360,110.291013
2,16,0,26500,110.829195
3,7,0,26644,111.404852
4,10,0,26788,111.988457
5,5,0,26932,112.554353
6,4,0,27076,113.147794
7,19,0,27220,113.704444
8,5,0,27360,114.280212
9,0,0,27504,114.875163
10,6,1,27656,115.449015
11,0,0,27792,116.003946
12,4,0,27940,116.589241
13,13,0,28080,117.163413
14,10,0,28224,117.732316
15,17,0,28368,118.308797
16,13,0,28512,118.895384
17,0,0,28656,119.456419
18,7,0,28800,120.040166
19,9,0,28944,120.604042
20,4,0,29088,121.184694
21,1,0,29224,121.760759
22,19,0,29376,122.334162
23,13,0,29520,122.916918
24,6,1,29660,123.479531
25,18,0,29804,124.054084
26,9,0,29952,124.632749
27,10,0,30088,125.203828
28,8,0,30244,125.812263
29,3,0,30380,126.354099
30,7,0,30524,126.928863
31,16,0,30668,127.520102
32,12,1,30816,128.096309
33,17,0,30956,128.653985
34,9,0,31100,129.229874
35,8,0,31240,129.803888
36,5,0,31384,130.383417
37,18,0,31536,130.983994
38,2,1,31672,131.548213
39,1,0,31824,132.134352
40,19,0,31960,132.702116
41,3,0,32104,133.255838
42,17,0,32248,133.829605
43,11,0,32392,134.411860
44,1,0,32536,134.979139
45,14,0,32680,135.556044
46,2,1,32820,136.128848
47,1,0,32968,136.725109
48,18,0,33112,137.290508
49,11,0,33256,137.854181
50,0,0,33400,138.458064
51,19,0,33544,139.008968
52,5,0,33688,139.591769
53,8,0,33832,140.157743
54,16,0,33972,140.742002
55,6,1,34120,141.334808
56,17,0,34260,141.892269
57,14,0,34404,142.456401
58,18,0,34544,143.038988
59,13,0,34692,143.623486
60,6,1,34836,144.179028
61,4,0,34976,144.754064
62,1,0,35124,145.328872
63,15,0,35268,145.938552
64,10,0,35412,146.505708
65,9,0,35556,147.058959
66,11,0,35700,147.628986
67,6,1,35840,148.225080
68,15,0,35980,148.778799
69,7,0,36132,149.394849
70,14,0,36272,149.948080
71,3,0,36416,150.520310
72,15,0,36556,151.105581
73,13,0,36708,151.668046
74,12,1,36848,152.229108
75,9,0,36992,152.806074
76,16,0,37136,153.393049
77,7,0,37280,153.962495
78,12,1,37424,154.529105
79,3,0,37564,155.118205
80,12,1,37712,155.696903
81,5,0,37856,156.266398
82,4,0,37992,156.829353
83,17,0,38140,157.408734
84,18,0,38284,157.979248
85,0,0,38428,158.554156
86,2,1,38572,159.129793
87,19,0,38724,159.738599
88,15,0,38860,160.279127
89,8,0,39000,160.854210
90,3,0,39148,161.443120
91,8,0,39292,162.020836
92,2,1,39436,162.587398
93,15,0,39576,163.153772
94,10,0,39724,163.732626
95,16,0,39868,164.309776
96,11,0,40012,164.887054
97,14,0,40156,165.466779
98,11,0,40300,166.043132
99,12,1,40440,166.624387
