index,image_id,is_target,buffer_index,timestamp
0,1,0,23816,101.377506
1,3,0,23968,101.958401
2,19,0,24084,102.554531
3,13,0,24264,103.110763
4,1,0,24420,103.735698
5,11,0,24560,104.304959
6,6,0,24696,104.850787
7,3,0,24844,105.435887
8,6,0,24988,106.006262
9,13,0,25124,106.578389
10,0,0,25276,107.163079
11,15,0,25420,107.729036
12,17,0,25568,108.334304
13,6,0,25716,108.926655
14,10,0,25844,109.429328
15,18,0,25996,110.043242
16,8,0,26140,110.612399
17,2,0,26284,111.210914
18,14,0,26420,111.820927
19,4,0,26564,112.336628
20,1,0,26716,112.962848
21,11,0,26852,113.497974
22,12,0,27000,114.048191
23,17,0,27140,114.622090
24,14,0,27284,115.219330
25,7,0,27448,115.840568
26,9,0,27572,116.340646
27,3,0,27732,116.995538
28,16,0,27856,117.489528
29,12,0,27992,118.064613
30,16,0,28152,118.662952
31,18,0,28316,119.320952
32,7,0,28432,119.788511
33,15,0,28580,120.397812
34,10,0,28728,120.972570
35,2,0,28880,121.568446
36,17,0,29016,122.120927
37,15,0,29160,122.697002
38,13,0,29300,123.248260
39,18,0,29432,123.810297
40,8,0,29572,124.381335
41,12,0,29732,124.976987
42,2,0,29860,125.528916
43,12,0,30024,126.145638
44,7,0,30164,126.731078
45,2,0,30300,127.262950
46,13,0,30456,127.869494
47,9,0,30592,128.439602
48,19,0,30732,128.994626
49,10,0,30884,129.588189
50,14,0,31024,130.145944
51,0,0,31160,130.730455
52,2,0,31316,131.326970
53,5,0,31472,131.960845
54,4,0,31596,132.444731
55,0,0,31740,133.009053
56,7,0,31892,133.611903
57,9,0,32044,134.227961
58,3,0,32180,134.763841
59,10,0,32316,135.320845
60,1,0,32460,135.891776
61,16,0,32600,136.452537
62,19,0,32776,137.191900
63,5,0,32884,137.602777
64,15,0,33044,138.283691
65,11,0,33180,138.765884
66,5,0,33320,139.331796
67,4,0,33468,139.924550
68,0,0,33608,140.522238
69,6,0,33776,141.170520
70,4,0,33900,141.660847
71,6,0,34032,142.267287
72,7,0,34192,142.817384
73,18,0,34332,143.380914
74,8,0,34484,143.981070
75,5,0,34616,144.533164
76,17,0,34760,145.101238
77,0,0,34908,145.690869
78,10,0,35056,146.276741
79,16,0,35196,146.839334
80,14,0,35316,147.421054
81,19,0,35468,147.952539
82,12,0,35620,148.543088
83,19,0,35756,149.111847
84,15,0,35932,149.778635
85,9,0,36064,150.322528
86,11,0,36204,150.892935
87,3,0,36352,151.480895
88,14,0,36496,152.030044
89,4,0,36628,152.555760
90,11,0,36776,153.149770
91,9,0,36928,153.756296
92,8,0,37044,154.305669
93,1,0,37216,154.908386
94,5,0,37348,155.450392
95,13,0,37484,156.030675
96,8,0,37632,156.656790
97,16,0,37776,157.158112
98,18,0,37920,157.788106
99,17,0,38060,158.329434
