index,image_id,is_target,buffer_index,timestamp
0,10,0,1276,9.277371
1,16,0,1404,9.794709
2,0,0,1536,10.254088
3,17,0,1644,10.687962
4,13,0,1756,11.129514
5,0,0,1844,11.536898
6,12,0,1964,12.022906
7,5,0,2076,12.469393
8,13,0,2180,12.915396
9,2,0,2284,13.338241
10,0,0,2400,13.777348
11,6,0,2484,14.253528
12,11,0,2620,14.752602
13,8,0,2732,15.187617
14,7,0,2872,15.634187
15,14,0,2984,16.092817
16,13,0,3072,16.498176
17,4,0,3220,16.997888
18,13,0,3308,17.377319
19,7,0,3448,17.899484
20,9,0,3576,18.422979
21,0,0,3672,18.788674
22,19,0,3776,19.235363
23,7,0,3892,19.675746
24,15,0,4016,20.166166
25,7,0,4116,20.580436
26,13,0,4228,21.031868
27,0,0,4336,21.437004
28,7,0,4452,22.009521
29,3,0,4532,22.329298
30,18,0,4660,22.868930
31,1,0,4756,23.282007
