session_id,session_type,granted,target_peak_uv,nontarget_peak_uv,delta_uv,pre_sigma_uv,snr_db,n_target,n_nontarget,n_markers,message,has_epochs,has_erp_data,session_dir
20260907_231607,genuine,True,1.3634445762403564,-0.7897718562311564,2.153216432471513,0.8977892543790483,7.598265649598712,15,85,100,"GRANTED — mean ΔP300=2.15 µV, pre_σ=0.90 µV, SNR=7.6 dB",True,True,logs/20260907_231607
20260907_234704,genuine,True,0.9487698487936375,-0.894552954408615,1.8433228032022524,0.7601957256197415,7.693519445982866,15,85,100,"GRANTED — mean ΔP300=1.84 µV, pre_σ=0.76 µV, SNR=7.7 dB",True,True,logs/20260907_234704
20260907_234840,genuine,True,2.212604932568858,0.4378657694609663,1.774739163107892,0.6302961867126958,8.991797066302606,15,85,100,"GRANTED — mean ΔP300=1.77 µV, pre_σ=0.63 µV, SNR=9.0 dB",True,True,logs/20260907_234840
20260907_235029,genuine,False,-2.075659415424843,1.3840128027079048,-3.459672218132747,0.9705124456540529,11.040676900933924,15,85,100,DENIED — mean ΔP300=-3.46 µV (need ≥1.5 µV AND ≥1.5×pre_σ=1.46 µV),True,True,logs/20260907_235029
20260907_235141,impostor,False,-0.541653229220616,-0.7095949055113918,0.16794167629077592,0.5797290062996704,-10.761330935516186,15,85,100,DENIED — mean ΔP300=0.17 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.87 µV),True,True,logs/20260907_235141
20260907_235249,impostor,False,1.4389983441019145,1.1641354863008193,0.27486285780109526,0.5842173324008051,-6.5491675946822365,15,85,100,DENIED — mean ΔP300=0.27 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.88 µV),True,True,logs/20260907_235249
20260907_235359,impostor,False,0.3494220805997999,-0.6972160626220096,1.0466381432218095,0.7157824192772609,3.300310613773831,15,85,100,DENIED — mean ΔP300=1.05 µV (need ≥1.5 µV AND ≥1.5×pre_σ=1.07 µV),True,True,logs/20260907_235359
20260907_235510,impostor,False,-1.3083939548242343,0.19350169755292085,-1.5018956523771547,0.43532402926417524,10.756542397276977,15,85,100,DENIED — mean ΔP300=-1.50 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.65 µV),True,True,logs/20260907_235510
20260907_235638,impostor,False,-0.5012651048360542,-0.817403897574672,0.3161387927386179,0.9540867778981384,-9.594201735634314,15,85,100,DENIED — mean ΔP300=0.32 µV (need ≥1.5 µV AND ≥1.5×pre_σ=1.43 µV),True,True,logs/20260907_235638
20260908_004327,genuine,False,-1.949559793753102,-0.09272751135289439,-1.8568322824002084,0.8336440976071015,6.9558399686154875,15,85,100,DENIED — mean ΔP300=-1.86 µV (need ≥1.5 µV AND ≥1.5×pre_σ=1.25 µV),True,True,logs/20260908_004327
20260908_004527,genuine,False,0.29658648165592216,-0.38850739072072316,0.6850938723766454,0.37908496869087477,5.140270376004197,15,85,100,DENIED — mean ΔP300=0.69 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.57 µV),True,True,logs/20260908_004527
20260908_004756,genuine,False,-1.0368359214660312,-0.43370212408116326,-0.6031337973848677,0.6861386363322747,-1.1199641928922381,15,85,100,DENIED — mean ΔP300=-0.60 µV (need ≥1.5 µV AND ≥1.5×pre_σ=1.03 µV),True,True,logs/20260908_004756
20260908_004912,impostor,False,0.9376425735622276,0.04071752616985542,0.8969250473923719,0.6611437327649038,2.649205335564892,15,85,100,DENIED — mean ΔP300=0.90 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.99 µV),True,True,logs/20260908_004912
20260908_005055,impostor,False,-1.8678165092416703,1.2348779031106754,-3.1026944123523448,0.4738162668168155,16.32258073901299,15,85,100,DENIED — mean ΔP300=-3.10 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.71 µV),True,True,logs/20260908_005055
20260908_005348,impostor,False,-0.9490325566372568,0.03785739150022288,-0.9868899481374798,0.7412740923572103,2.4857980761399054,15,85,100,DENIED — mean ΔP300=-0.99 µV (need ≥1.5 µV AND ≥1.5×pre_σ=1.11 µV),True,True,logs/20260908_005348
20260908_010113,impostor,False,0.40172565180535835,0.3584861505782068,0.04323950122715157,0.20453976070003707,-13.497941356835131,15,85,100,DENIED — mean ΔP300=0.04 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.31 µV),True,True,logs/20260908_010113
20260908_010226,impostor,False,1.7899014218340343,0.4960229339573969,1.293878487876638,1.0090561335146357,2.1595633144172584,15,85,100,DENIED — mean ΔP300=1.29 µV (need ≥1.5 µV AND ≥1.5×pre_σ=1.51 µV),True,True,logs/20260908_010226
20260908_010419,genuine,False,-0.8721543825368031,-1.0609460888144528,0.18879170627765005,0.5487221837012978,-9.267392131780937,15,85,100,DENIED — mean ΔP300=0.19 µV (need ≥1.5 µV AND ≥1.5×pre_σ=0.82 µV),True,True,logs/20260908_010419
