index,image_id,is_target,buffer_index,timestamp
0,10,0,4332,19.656059
1,18,0,4480,20.277179
2,4,0,4612,20.849301
3,11,0,4768,21.399446
4,2,1,4904,21.973279
5,8,0,5048,22.538820
6,15,0,5196,23.115276
7,1,0,5340,23.716654
8,16,0,5496,24.342986
9,7,0,5632,24.933007
10,6,1,5776,25.406034
11,18,0,5916,26.006979
12,17,0,6060,26.556030
13,13,0,6208,27.162041
14,2,1,6348,27.725722
15,1,0,6488,28.292240
16,6,1,6652,28.961035
17,19,0,6784,29.467015
18,2,1,6924,30.011801
19,0,0,7068,30.587331
20,13,0,7208,31.156116
21,3,0,7356,31.753594
22,9,0,7492,32.306051
23,7,0,7640,32.881059
24,15,0,7776,33.456050
25,11,0,7928,34.044381
26,5,0,8072,34.617376
27,14,0,8220,35.215546
28,12,1,8364,35.773376
29,2,1,8504,36.336236
30,4,0,8652,36.932601
31,8,0,8788,37.503721
32,14,0,8928,38.056048
33,0,0,9068,38.637305
34,12,1,9228,39.245618
35,6,1,9364,39.791794
36,13,0,9516,40.375599
37,5,0,9644,40.932552
38,3,0,9796,41.506065
39,10,0,9944,42.124218
40,2,1,10076,42.656030
41,16,0,10224,43.231096
42,17,0,10364,43.806032
43,8,0,10508,44.381794
44,7,0,10660,44.956056
45,17,0,10796,45.540370
46,7,0,10944,46.127082
47,19,0,11092,46.705529
48,5,0,11244,47.289771
49,4,0,11388,47.881681
50,10,0,11524,48.411121
51,17,0,11660,48.981071
52,6,1,11808,49.563191
53,14,0,11948,50.131075
54,13,0,12100,50.729734
55,7,0,12248,51.306961
56,10,0,12396,51.899211
57,19,0,12532,52.462291
58,6,1,12676,53.019752
59,18,0,12820,53.614167
60,8,0,12968,54.170277
61,14,0,13100,54.736424
62,1,0,13252,55.317044
63,16,0,13392,55.881137
64,15,0,13544,56.485381
65,11,0,13680,57.049448
66,9,0,13824,57.621767
67,15,0,13972,58.227129
68,19,0,14124,58.843030
69,9,0,14264,59.379739
70,12,1,14396,59.906075
71,15,0,14544,60.511033
72,5,0,14684,61.069085
73,0,0,14828,61.631057
74,19,0,14968,62.206055
75,9,0,15124,62.821724
76,0,0,15256,63.356085
77,4,0,15396,63.931070
78,11,0,15536,64.508938
79,12,1,15684,65.132402
80,8,0,15836,65.658715
81,1,0,15980,66.249535
82,16,0,16124,66.824353
83,18,0,16268,67.399277
84,10,0,16400,67.994832
85,12,1,16560,68.570557
86,9,0,16684,69.106865
87,18,0,16840,69.697787
88,3,0,16988,70.278283
89,11,0,17132,70.869006
90,14,0,17276,71.446795
91,3,0,17420,71.988887
92,13,0,17568,72.610728
93,16,0,17708,73.159037
94,17,0,17844,73.706046
95,5,0,17988,74.281082
96,1,0,18136,74.868292
97,0,0,18280,75.458956
98,4,0,18428,76.008831
99,3,0,18568,76.608299
