index,image_id,is_target,buffer_index,timestamp
0,7,0,680,6.154243
1,1,0,740,6.606365
2,13,0,800,7.059698
3,0,0,860,7.513903
4,7,0,916,7.963200
5,13,0,976,8.416536
6,11,0,1036,8.868530
7,7,0,1092,9.307683
8,14,0,1152,9.762479
9,7,0,1208,10.215321
10,5,0,1268,10.667585
11,13,0,1324,11.104240
12,8,0,1384,11.555944
13,6,0,1444,12.007586
14,0,0,1500,12.457475
15,3,0,1560,12.912715
16,19,0,1616,13.366666
17,16,0,1676,13.804243
18,18,0,1740,14.257440
19,4,0,1800,14.708609
20,0,0,1860,15.159382
21,10,0,1920,15.611474
22,7,0,1976,16.063438
23,12,0,2036,16.516076
24,17,0,2092,16.968272
25,0,0,2148,17.404387
26,13,0,2208,17.854572
27,2,0,2264,18.305246
28,15,0,2324,18.756370
29,13,0,2380,19.208512
30,0,0,2440,19.659084
31,9,0,2496,20.112877
